Straftat;Kanton;Ausführungsgrad;Aufklärungsgrad;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Amtsanmassung (Art. 287);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);St. Gallen;Vollendet;Unaufgeklärt;1;0;1;2;4;0;3;2;2;2;1;3;17;7
Amtsanmassung (Art. 287);St. Gallen;Vollendet;Aufgeklärt;0;5;0;1;1;1;1;15;4;3;0;1;2;7
Amtsanmassung (Art. 287);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;1;0;0;0;1;1;0
Amtsanmassung (Art. 287);Graubünden;Vollendet;Aufgeklärt;0;2;1;1;0;0;0;0;0;1;1;0;1;2
Amtsanmassung (Art. 287);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;1;0;0;0;0;0;8;11;19
Amtsanmassung (Art. 287);Thurgau;Vollendet;Aufgeklärt;1;1;0;0;0;1;2;1;0;1;3;0;4;3
Amtsanmassung (Art. 287);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Zürich;Vollendet;Unaufgeklärt;4;6;9;8;14;12;19;18;15;19;19;19;19;21
Amtsmissbrauch (Art. 312);Zürich;Vollendet;Aufgeklärt;7;6;6;12;14;22;28;19;13;24;33;21;24;39
Amtsmissbrauch (Art. 312);Zürich;Versucht;Unaufgeklärt;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Zürich;Versucht;Aufgeklärt;0;0;0;1;0;1;0;0;0;0;1;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;1;0;0;1;0
Amtsmissbrauch (Art. 312);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);St. Gallen;Vollendet;Unaufgeklärt;2;0;0;0;0;0;0;1;0;0;1;0;0;0
Amtsmissbrauch (Art. 312);St. Gallen;Vollendet;Aufgeklärt;0;0;1;1;1;0;1;3;2;4;0;1;5;3
Amtsmissbrauch (Art. 312);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Amtsmissbrauch (Art. 312);Graubünden;Vollendet;Aufgeklärt;2;5;2;0;2;3;0;1;0;3;2;1;1;2
Amtsmissbrauch (Art. 312);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;1;0;0;0;0;0;1;0;1;0
Amtsmissbrauch (Art. 312);Thurgau;Vollendet;Aufgeklärt;0;0;1;4;7;2;4;0;1;3;2;2;2;2
Amtsmissbrauch (Art. 312);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsmissbrauch (Art. 312);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Zürich;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Zürich;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Zürich;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
